"Nazwa_ogłoszenia","Cena","Cena_za_metr","Liczba_pokoi","Powierzchnia","Osiedle","Dzielnica","Forma_własności","Stan","Piętro","Balkon_taras_ogródek","Czynsz","Miejsce_parkingowe","Ogrzewanie","Rynek","Typ_ogłoszeniodawcy","Rok_budowy","Rodzaj_zabudowy","Okna","Winda","Zabezpieczenia","Informacje_dodatkowe"
"ul. Sarmacka | 85 m2 | 4 miejsca postojowe",1690000,19794,3,85.38,"Błonia Wilanowskie","Wilanów","pełna własność","do zamieszkania","1/4","balkon","1 200 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2008,"apartamentowiec",NA,"tak","monitoring / ochrona","meble"
"4-pokojowe mieszkanie 129m2 + taras Bezpośrednio",2464473,19100,4,129.03,"Pelcowizna","Praga-Północ","pełna własność","do wykończenia","5/5","taras",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}4"
"3 Pokoje, Loggia, Piwnica, Tuż Teatr Rampa, Metro",595000,9983,3,59.6,"Targówek Mieszkaniowy","Targówek",NA,"do remontu","3/10","balkon","850 zł",NA,NA,"wtórny","biuro nieruchomości",1978,NA,NA,"tak",NA,"piwnica"
"Apartament 235m2 - stary Wilanów z basenem!",3295000,14021,5,235,"Wilanów Królewski","Wilanów","pełna własność","do zamieszkania","parter/2",NA,NA,"garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2000,"apartamentowiec",NA,"tak","monitoring / ochrona",".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}5"
"2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji",733212,16009,2,45.8,"Pelcowizna","Praga-Północ","pełna własność","do wykończenia","2/6",NA,NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"4-pokojowe mieszkanie 81m2 + loggia",1414098,17400,4,81.27,"Pelcowizna","Praga-Północ","pełna własność","do wykończenia","3/5",NA,NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}4"
"Okazja ,GOTOWE-NOWE- 3 pokoje - panele+ pompa",568000,11137,3,51,"Białołęka Dworska","Białołęka","pełna własność",NA,"1/2","balkon, ogródek, taras",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2023,NA,NA,"tak",NA,"piwnica, oddzielna kuchnia, dwupoziomowe, pom. użytkowe"
"4 pokoje w kameralnej zabudowie BIAŁOŁĘKA",708000,9568,4,74,"Nowodwory","Białołęka","pełna własność","do wykończenia","1/3","balkon","750 zł","garaż/miejsce parkingowe","gazowe","pierwotny","biuro nieruchomości",2024,"apartamentowiec",NA,"tak",NA,"cegła"
"Klimatyczne mieszkanie w kamienicy, Falenica",699990,12500,2,56,"Falenica","Wawer","pełna własność","do zamieszkania","2/2",NA,NA,NA,"gazowe","wtórny","biuro nieruchomości",1936,"kamienica",NA,"nie","system alarmowy, domofon / wideofon","cegła"
"63 m2-3 pokoje-balkon-garaż-Skm-Ochrona",890000,14127,3,63,"Stary Rembertów","Rembertów","pełna własność","do zamieszkania","1/3","balkon","640 zł","garaż/miejsce parkingowe","gazowe","wtórny","biuro nieruchomości",2001,"blok",NA,"nie","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Ostatni apartament w Inwestycji. Wysoki standard.",3800000,22754,5,167,"Marymont-Kaskada","Bielany","pełna własność","do wykończenia","2/2",NA,"2 000 zł",NA,NA,"pierwotny","biuro nieruchomości",2021,"apartamentowiec",NA,"nie",NA,"cegła"
"✅Mieszkanie na Białołęce: blisko lasu i parku✅",1035000,14415,3,71.8,"Henryków","Białołęka","pełna własność","do remontu","1/4",NA,NA,"garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",NA,NA,NA,"tak","monitoring / ochrona","cegła"
"3-pokojowe mieszkanie 65m2 + balkon Bez Prowizji",1038062,15909,3,65.25,"Pelcowizna","Praga-Północ","pełna własność","do wykończenia","4/6","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"Mieszkania na sprzedaż w Warszawie",6e+05,13768,2,43.58,"Wólka Węglowa","Bielany",NA,NA,"1/3","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2024,NA,NA,"nie",NA,"pom. użytkowe"
"Świetna lokalizacja / 4 pokoje / 106 mkw✅",1055000,9953,4,106,"Zacisze","Targówek","pełna własność","do zamieszkania","1/3","balkon, taras","500 zł","garaż/miejsce parkingowe","gazowe","wtórny","biuro nieruchomości",1978,"blok",NA,"nie",NA,"piwnica, pom. użytkowe"
"Mieszkanie z widokiem na las przy metro Kabaty",904017,19521,2,46.31,"Kabaty","Ursynów",NA,NA,NA,"balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",NA,NA,NA,"nie","monitoring / ochrona","pom. użytkowe"
"Lux apartament typu studio przy ul. Bagno.",2300000,31944,1,72,"Śródmieście Północne","Śródmieście","pełna własność","do zamieszkania","4/14","balkon","600 zł",NA,"miejskie","wtórny","biuro nieruchomości",2010,"apartamentowiec",NA,"tak","monitoring / ochrona","meble"
"REZERWACJA Mieszkanie 2 pokoje + kuchnia Ursus",599000,10664,2,56.17,"Skorosze","Ursus","spółdzielcze wł. prawo do lokalu","do remontu","2/4","balkon","650 zł",NA,"miejskie","wtórny","biuro nieruchomości",1056,"blok",NA,"nie","domofon / wideofon","wielka płyta"
"Przy metrze!3pok!56m2.Garaż podziemny.Bez Pcc!Nowe",1149000,20419,3,56.27,"Chrzanów","Bemowo","pełna własność","do zamieszkania","4/6","balkon",NA,"garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2023,"blok",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","silikat"
"Dwupoziomowy LUX apartament na Wroniej.",2999000,18512,5,162,"Mirów","Wola","pełna własność","do zamieszkania","5/5","balkon, taras","1 500 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2022,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","cegła"
"Kawalerka dla singla blisko lasu",391162,14450,1,27.07,"Kawęczyn-Wygoda","Rembertów","pełna własność","do wykończenia","2/5","balkon, taras",NA,"garaż/miejsce parkingowe","miejskie",NA,"biuro nieruchomości",2024,"blok",NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Przestronne 4 pokoje, 2 łazienki, duży balkon.",638522,10100,4,63.22,"Grodzisk","Białołęka","pełna własność","do wykończenia","2/2","balkon, taras",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2024,"blok",NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Mega Oferta ! Grójecka ! 2 Pokoje ! Klimatyzacja !",670000,18276,2,36.66,"Stara Ochota","Ochota","pełna własność","do zamieszkania","1/7",NA,"450 zł",NA,"miejskie","wtórny","biuro nieruchomości",1964,"blok",NA,"tak","system alarmowy, monitoring / ochrona","żelbet"
"Atrakcyjne mieszkanie przy parku.",1600000,15238,4,105,"Fort Bema","Bemowo",NA,"do zamieszkania","4/5",NA,NA,"garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2007,"apartamentowiec",NA,"nie","system alarmowy, monitoring / ochrona","2023-10-31"
"Ursynów, Warchałowskiego 4 pokoje 69,5 m2",969000,13942,4,69.5,"Ursynów-Centrum","Ursynów","pełna własność",NA,"4/4","balkon","1 000 zł",NA,"miejskie","wtórny","biuro nieruchomości",1985,"blok",NA,"nie",NA,"wielka płyta"
"bezczynszowe dwupoziomowe mieszkanie",799000,9184,3,87,"Stara Miłosna","Wesoła",NA,NA,"1/2","balkon",NA,"garaż/miejsce parkingowe","gazowe","wtórny","biuro nieruchomości",2023,NA,NA,"nie","domofon / wideofon","pustak"
"Urokliwe mieszkanie z ogrodem. Bezczynszowe !",450000,11842,2,38,"Stara Miłosna","Wesoła","pełna własność",NA,"parter/2","ogródek",NA,"garaż/miejsce parkingowe","gazowe","wtórny","biuro nieruchomości",2023,NA,NA,"nie","domofon / wideofon","pustak"
"Mieszkanie 2 pokojowe 46,31 m2 Warszawa - Kabaty",904017,19521,2,46.31,"Kabaty","Ursynów","pełna własność","do wykończenia","1/5","balkon",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2023,"apartamentowiec",NA,"nie","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","drewniane"
"Blisko Centrum, 2 pokoje, balkon 14 m2",1614907,28100,2,57.47,"Ksawerów","Mokotów",NA,"do wykończenia","1/3",NA,NA,NA,NA,"pierwotny","biuro nieruchomości",2023,NA,NA,"nie",NA,"aluminiowe"
"Nowe, 2 pokoje, urządzone pod klucz! Garaż!!",699000,15933,2,43.87,"Tarchomin","Białołęka","pełna własność","do zamieszkania","1/6","balkon","500 zł","garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2023,"apartamentowiec",NA,"tak","domofon / wideofon","internet"
"Unikatowe mieszkanie, Splace Park, Rydygiera 16",1400000,27451,2,51,"Sady Żoliborskie","Żoliborz","pełna własność","do wykończenia","6/6",NA,"750 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2019,"apartamentowiec",NA,"tak","system alarmowy, monitoring / ochrona",".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"3 pokoje do wprowadzenia, 2 balkony, garderoba",860000,11500,3,74.78,"Grodzisk","Białołęka",NA,NA,"1/5","balkon","1 450 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2010,NA,NA,"nie",NA,"meble, lodówka, piekarnik, zmywarka"
"Rembertów. Cegła. Trzy pokoje. Przestronne",645000,10078,3,64,"Stary Rembertów","Rembertów","pełna własność","do remontu","2/3","balkon","351 zł",NA,"miejskie","wtórny","biuro nieruchomości",1988,"blok",NA,"nie","monitoring / ochrona","cegła"
"ENERGOOSZCZĘDNE 3 pokoje duży BALKON, Białołęka 2%",624850,11571,3,54,"Nowodwory","Białołęka","pełna własność",NA,NA,"balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",NA,"blok",NA,"nie",NA,"telewizja kablowa, internet, telefon"
"Dwupoziomowy apartament tuż przy Parku Sieleckiego",2e+06,13333,5,150,"Sielce","Mokotów","pełna własność","do zamieszkania","6/6","balkon",NA,NA,"miejskie","wtórny","biuro nieruchomości",1998,"apartamentowiec",NA,"tak","teren zamknięty, monitoring / ochrona","cegła"
"Przytulny 3 pokojowy mieszkanie na Sarmackiej",1250000,16892,3,74,"Błonia Wilanowskie","Wilanów","pełna własność","do zamieszkania","1/4",NA,"1 200 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2013,"apartamentowiec",NA,"tak","monitoring / ochrona, domofon / wideofon","pustak"
"Apartament 3-pokojowy na sprzedaż, Warszawa Wola",1179000,22461,3,52.49,"Odolany","Wola",NA,"do wykończenia","> 10/26",NA,NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",NA,NA,NA,"nie",NA,"2023-10-24"
"Mieszkanie 3 pok. na skraju Parku Kampinoskiego",851466,13300,3,64.02,"Wólka Węglowa","Bielany","pełna własność","do wykończenia","2/3","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2024,"blok",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","cegła"
"Przestronne mieszkanie z pięknym widokiem na Woli",750000,22059,2,34,"Odolany","Wola","pełna własność","do zamieszkania","9/10","balkon","619 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2009,"blok",NA,"tak","teren zamknięty, monitoring / ochrona","cegła"
"Przytulny 154m Apartament w Wilanowie z ogrodem!",1990000,12922,4,154,"Powsin","Wilanów","pełna własność","do zamieszkania","parter/2",NA,"600 zł","garaż/miejsce parkingowe","gazowe","wtórny","biuro nieruchomości",2001,"apartamentowiec",NA,"nie",NA,"cegła"
"Zaaranżuj Swój Mieszkanie Blisko Parku",719000,14995,2,47.95,"Raków","Włochy",NA,"do wykończenia","parter/8","ogródek, taras",NA,NA,"miejskie","wtórny","biuro nieruchomości",2023,"blok",NA,"tak","monitoring / ochrona","pustak"
"Lokal biurowy",1100000,7926,7,138.79,"Czerniaków","Mokotów",NA,"do remontu","1/2",NA,NA,NA,NA,"wtórny","biuro nieruchomości",1994,NA,NA,"nie","system alarmowy, drzwi / okna antywłamaniowe, domofon / wideofon","elektryczne"
"3 Pokoje, stan Bdb, garaż, 66m",1150000,17335,3,66.34,"Ulrychów","Wola","pełna własność","do zamieszkania","1/8","balkon","750 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2012,"apartamentowiec",NA,"tak","monitoring / ochrona","cegła"
"2 pokoje▪️taras▪️ogródek▪️przy Lesie",890000,15978,2,55.7,"Falenica","Wawer","pełna własność",NA,"parter/3","ogródek, taras","650 zł",NA,"gazowe","wtórny","biuro nieruchomości",2018,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","inny"
"Apartament 80 m2, Wesoła, Stara Miłosna",855000,10576,3,80.84,"Stara Miłosna","Wesoła","pełna własność","do wykończenia","parter/3",NA,NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2022,"apartamentowiec",NA,"tak","monitoring / ochrona","cegła"
"Kawalerka na sprzedaż przy rondo Wiatraczna",629000,17819,1,35.3,"Grochów","Praga-Południe","pełna własność","do zamieszkania","7/7",NA,NA,"garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2010,"blok",NA,"tak",NA,"lodówka, meble, piekarnik, kuchenka, telewizor"
"Wyjątkowy apartament z widokiem na 17 piętrze",1927920,24000,3,80.33,"Odolany","Wola","pełna własność","do wykończenia","> 10/23",NA,"960 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2022,"apartamentowiec",NA,"tak","domofon / wideofon, monitoring / ochrona","cegła"
"Przestronny apartament z widokiem na miasto",2075750,23000,4,90.25,"Odolany","Wola","pełna własność","do wykończenia","> 10/23","balkon","1 080 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2022,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","cegła"
"Duże, 6-pokojowe mieszkanie w centrum Pragi",2260000,16728,6,135.1,"Grochów","Praga-Południe","pełna własność",NA,"2/9","balkon",NA,"garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2007,NA,NA,"nie",NA,"piwnica, pom. użytkowe"
"2-pokojowe mieszkanie 52m2 + loggia Bez Prowizji",952881,18300,2,52.07,"Sadyba","Mokotów","pełna własność","do wykończenia","9/11",NA,NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"3-pokojowe mieszkanie 76m2 + balkon Bez Prowizji",1360937,17900,3,76.03,"Sadyba","Mokotów","pełna własność","do wykończenia","4/11","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"Nowa inwestycja - II etap Osiedla Młoda Białołęka,",586040,13000,2,45.08,"Grodzisk","Białołęka","pełna własność",NA,"2/5","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2025,"blok",NA,"tak","teren zamknięty, domofon / wideofon","inny"
"Nowa inwestycja - II etap Osiedla Młoda Białołęka,",651360,11800,2,55.2,"Grodzisk","Białołęka","pełna własność",NA,"2/5",NA,NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2025,"blok",NA,"tak","teren zamknięty, domofon / wideofon","inny"
"Nowa inwestycja - II etap Osiedla Młoda Białołęka,",787998,12200,3,64.59,"Grodzisk","Białołęka","pełna własność",NA,"parter/5","ogródek, taras",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2025,"blok",NA,"tak","teren zamknięty, domofon / wideofon","inny"
"Nowa inwestycja - II etap Osiedla Młoda Białołęka,",691220,10700,3,64.6,"Grodzisk","Białołęka","pełna własność",NA,"parter/5","taras",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2025,"blok",NA,"tak","teren zamknięty, domofon / wideofon","inny"
"Przestronne mieszkanie na ul. Przejezdnej",680000,12801,3,53.12,"Kobiałka","Białołęka",NA,NA,"1/3","balkon",NA,NA,NA,"wtórny","biuro nieruchomości",NA,NA,NA,"nie",NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"Kawalerka / Muranów / Od Zaraz",619000,20633,1,30,"Muranów","Śródmieście","pełna własność",NA,"parter/4",NA,"430 zł",NA,"miejskie","wtórny","biuro nieruchomości",1955,"blok",NA,"nie",NA,"cegła"
"Okazja Cenowa-Kredyt 2%-Bezpośrednio-Bez Prowizji",680760,12000,3,56.73,"Radiowo","Bielany","pełna własność",NA,"1/2","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",NA,NA,NA,"nie",NA,"pom. użytkowe"
"Przestronne mieszkanie 75m2 | Wilanów",1290000,17161,2,75.17,"Powsinek","Wilanów","pełna własność","do zamieszkania","1/3","balkon","918 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2008,"apartamentowiec",NA,"tak","monitoring / ochrona, domofon / wideofon, teren zamknięty","inny"
"Ekskluzywny Apartament dla rodziny przy Parku !",2632445,26264,4,100.23,"Szczęśliwice","Ochota",NA,NA,"1/5","balkon",NA,NA,NA,"pierwotny","biuro nieruchomości",NA,NA,NA,"nie",NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}4"
"Ekskluzywny apartament w idealnej lokalizacji",1653563,22736,3,72.73,"Szczęśliwice","Ochota",NA,NA,"1/5",NA,NA,NA,NA,"pierwotny","biuro nieruchomości",NA,NA,NA,"nie",NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"Przy Dworcu Zachodnim | Świetny Widok | Garaż",998000,21485,3,46.45,"Odolany","Wola","pełna własność","do zamieszkania","10/14","balkon","750 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2019,"blok",NA,"tak","monitoring / ochrona","piwnica, pom. użytkowe"
"Piękne Mieszkanie Wola przy Metrze",935000,17000,2,55,"Czyste","Wola","pełna własność","do zamieszkania","2/5","balkon","580 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1992,"blok",NA,"tak","domofon / wideofon","cegła"
"Mieszkanie na sprzedaż Warszawa, Ursynów",1380000,20354,3,67.8,"Wyczółki","Ursynów","pełna własność",NA,"3/4","balkon","800 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2019,NA,NA,"nie","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","pom. użytkowe"
"Mieszkanie dla rodziny przy Pkp Gocławek.",1318060,14666,4,89.87,"Marysin Wawerski","Wawer","pełna własność","do wykończenia","4/5","balkon",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2025,"blok",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Elegancki Apartament | Prestiżowy adres | Meble",1195000,23431,2,51,"Sielce","Mokotów","pełna własność","do zamieszkania",NA,NA,NA,NA,"miejskie","wtórny","biuro nieruchomości",NA,NA,NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","klimatyzacja"
"Wiktorska - ostatnie piętro",1805000,18751,4,96.26,"Stary Mokotów","Mokotów","pełna własność","do zamieszkania","5/5",NA,"1 200 zł",NA,"miejskie","wtórny","biuro nieruchomości",1988,"blok",NA,"tak","domofon / wideofon","piwnica"
"Bez Prowizji, Wawer 2 Pokoje Z Ogródkiem",857248.5,13150,3,65.19,"Marysin Wawerski","Wawer","pełna własność","do wykończenia","1/5",NA,NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2025,NA,NA,"tak","monitoring / ochrona",".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"Bez Prowizji, Wawer 2 Pokoje",675464.5,13850,2,48.77,"Marysin Wawerski","Wawer","pełna własność","do wykończenia","2/5",NA,NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2025,NA,NA,"tak","monitoring / ochrona",".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"Bez Prowizji, Wawer 2 Pokoje Z Ogródkiem",720892.5,13850,2,52.05,"Marysin Wawerski","Wawer","pełna własność","do wykończenia","parter/5",NA,NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2025,NA,NA,"tak","monitoring / ochrona",".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"Gotowy apartament 4 pokojowy przy metrze Kabaty.",1697989,18168,4,93.46,"Kabaty","Ursynów","pełna własność","do wykończenia","1/5","balkon",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2023,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","cegła"
"0% prowizji | Górny Mokotów | 15mieszkań w budynku",1614907,28100,2,57.47,"Ksawerów","Mokotów",NA,NA,"1/3","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2025,NA,NA,"nie",NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"Mieszkanie 2 poziomowe z tarasem 44 m2.",1669000,14494,3,115.15,"Tarchomin","Białołęka","pełna własność","do wykończenia","3/3","balkon, taras",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2025,"blok",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","cegła"
"Trzypokojowe do wprowadzenia się, jest Kw",1600000,16931,3,94.5,"Wilanów Wysoki","Wilanów","pełna własność","do zamieszkania","1/5",NA,"1 100 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1996,"blok",NA,"nie","teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Gotowe 2 pokoje w sąsiedztwie Łazienek",749000,15936,2,47,"Ujazdów","Śródmieście","pełna własność","do zamieszkania","2/6","balkon","800 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1994,"blok",NA,"tak",NA,"inny"
"Dwa pokoje na bliskiej Woli",990000,24146,2,41,"Odolany","Wola","pełna własność","do zamieszkania","1/5","balkon","400 zł",NA,"miejskie","wtórny","biuro nieruchomości",2022,"apartamentowiec",NA,"tak","system alarmowy, monitoring / ochrona","cegła"
"0%prowizji | Górny Mokotów | 15 mieszkań w budynku",3249832,27100,4,119.92,"Ksawerów","Mokotów",NA,NA,"1/3","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2025,NA,NA,"nie",NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}4"
"Bemowo, Stan Deweloperski, 3 pokoje z balkonem 21m",1069305,14640,3,73.04,"Koło","Wola","pełna własność","do wykończenia","3/5",NA,NA,NA,"miejskie","pierwotny","biuro nieruchomości",2024,"blok",NA,"tak","monitoring / ochrona",".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"Bemowo Poniżej 13 Tyś M2, 3 Pokoje",985598,14128,3,69.76,"Koło","Wola","pełna własność","do wykończenia","4/5",NA,NA,NA,"miejskie","pierwotny","biuro nieruchomości",2024,"blok",NA,"tak","monitoring / ochrona",".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"Bemowo, Stan Deweloperski, 3 pokoje z ogórdkiem",931140,14556,3,63.97,"Koło","Wola","pełna własność","do wykończenia","parter/5",NA,NA,NA,"miejskie","pierwotny","biuro nieruchomości",2024,"blok",NA,"tak","monitoring / ochrona",".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"Mieszkanie Z Tarasem, Bemowo, Stan Deweloperski",1060000,14619,3,72.51,"Koło","Wola","pełna własność","do wykończenia","2/5",NA,NA,NA,"miejskie","pierwotny","biuro nieruchomości",2024,"blok",NA,"tak","monitoring / ochrona",".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"Mieszkanie z ogródkiem, 2019 rok budowy, Wola",1160000,19333,3,60,"Ulrychów","Wola","pełna własność","do zamieszkania","parter/5",NA,"1 000 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2019,NA,NA,"tak","monitoring / ochrona","2025-01-01"
"Mieszkanie 2 pokojowe w centrum miasta",850000,17347,2,49,"Nowolipki","Wola","pełna własność","do remontu","1/5",NA,"500 zł",NA,"miejskie","wtórny","biuro nieruchomości",1953,"blok",NA,"nie","system alarmowy, monitoring / ochrona",".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"2-pokojowe mieszkanie 41m2 + balkon",856359,20700,2,41.37,"Sadyba","Mokotów","pełna własność","do wykończenia","5/11","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
